,ent_name,ent_link,ent_class,ent_conf
251,Georgian Dream,http://dbpedia.org/resource/Georgian_Dream,dbpedia-owl:Organisation,0.6765000000000001
252,Italy,http://dbpedia.org/resource/Italy,dbpedia-owl:PopulatedPlace,-0.5025806451612898
253,Giorgia Meloni,http://dbpedia.org/resource/Giorgia_Meloni,dbpedia-owl:Person,0.9141666666666668
254,Scotland,http://dbpedia.org/resource/Scotland,dbpedia-owl:PopulatedPlace,-0.53
255,people in Scotland,http://dbpedia.org/resource/Scottish_people,,-0.6421428571428572
256,Hate Crime,http://dbpedia.org/resource/Hate_crime,owl:Thing,-0.6249999999999999
257,Scotland),http://dbpedia.org/resource/Scots_law,,-0.6921428571428504
258,Baltimore,http://dbpedia.org/resource/Baltimore,dbpedia-owl:PopulatedPlace,-0.59
259,Disney,http://dbpedia.org/resource/The_Walt_Disney_Company,dbpedia-owl:Organisation,0.57
260,Ron DeSantis,http://dbpedia.org/resource/Ron_DeSantis,dbpedia-owl:Person,0.8975
261,Captain Moonlite,http://dbpedia.org/resource/Captain_Moonlite,dbpedia-owl:Person,0.7466666666666666
262,James Nesbitt,http://dbpedia.org/resource/James_Nesbitt,dbpedia-owl:Person,0.85
263,state heritage register,http://dbpedia.org/resource/Heritage_Council_of_Western_Australia,owl:Thing,-0.81
264,US President,http://dbpedia.org/resource/President_of_the_United_States,dbpedia-owl:Person,-0.5350000000000003
265,sexual orientation,http://dbpedia.org/resource/Sexual_orientation,dbpedia-owl:Person,-0.83
266,Ugandan gay rights,http://dbpedia.org/resource/LGBT_rights_in_Uganda,owl:Thing,-0.5
267,Target,http://dbpedia.org/resource/Target_Corporation,dbpedia-owl:Organisation,-0.8
268,LGBT youth,http://dbpedia.org/resource/Suicide_among_LGBT_youth,owl:Thing,-0.7594761904761905
269,reeducation camp,http://dbpedia.org/resource/Reeducation_camp,owl:Thing,-0.67
270,drag queens,http://dbpedia.org/resource/Drag_queen,owl:Thing,-0.634
271,Chaco,http://dbpedia.org/resource/Chaco_Province,dbpedia-owl:PopulatedPlace,-0.69
272,Monkey Man,http://dbpedia.org/resource/Monkey_Man_(Toots_&_the_Maytals_song),,-0.635757575757576
273,of India,http://dbpedia.org/resource/Constitution_of_India,owl:Thing,-0.8029047619047551
274,Dev Patel,http://dbpedia.org/resource/Dev_Patel,dbpedia-owl:Person,0.7226904761904761
275,religious discrimination,http://dbpedia.org/resource/Religious_discrimination,owl:Thing,-0.8099999999999982
276,William Wragg,http://dbpedia.org/resource/William_Wragg,dbpedia-owl:Person,0.9116666666666668
277,reality TV,http://dbpedia.org/resource/Reality_television,,-0.67
278,Oprah Winfrey,http://dbpedia.org/resource/Oprah_Winfrey,dbpedia-owl:Person,0.805
279,AIDS,http://dbpedia.org/resource/HIV/AIDS,,-0.55
280,Sydney,http://dbpedia.org/resource/Sydney,dbpedia-owl:PopulatedPlace,-0.54
281,Australian Muslims,http://dbpedia.org/resource/Islam_in_Australia,owl:Thing,0.5750000000000001
282,Imam,http://dbpedia.org/resource/Imam,owl:Thing,-0.65
283,Islam,http://dbpedia.org/resource/Islam,dbpedia-owl:Person,0.54
284,laws,http://dbpedia.org/resource/Law,dbpedia-owl:Person,-0.5157142857142857
285,Carly Rae Jepsen,http://dbpedia.org/resource/Carly_Rae_Jepsen,dbpedia-owl:Person,0.65
286,Canada,http://dbpedia.org/resource/Canada,dbpedia-owl:PopulatedPlace,0.64
