,ent_link,news_id,cluster,ent_name,assigned_cluster,news_links,news_count
89,http://dbpedia.org/resource/Christianity,256,[9],Christianity,9,https://www.breitbart.com/2024-election/2024/04/03/transgender-levine-dismisses-public-response-to-easter-insult-as-faux-outrage/,1
90,http://dbpedia.org/resource/Civil_and_political_rights,"42,200,337","[2, 9, 2]",Civil Rights,2,"https://www.advocate.com/politics/kentucky-considers-criminalizing-protests, https://www.advocate.com/news/trans-voices-transgender-day-visibility, https://www.advocate.com/politics/resolution-support-lgbtq-youth",3
91,http://dbpedia.org/resource/Civil_union,237,[7],Civil Partnerships,7,https://www.nbcnews.com/nbc-out/out-news/benedict-backed-rights-lgbtq-couples-pope-francis-says-rcna146014,1
92,http://dbpedia.org/resource/Climate_change,319,[8],Climate Change,8,https://www.naturalnews.com/2024-04-10-climate-change-threatening-incomes-trans-indonesia.html,1
93,"http://dbpedia.org/resource/Coeur_d'Alene,_Idaho",143,[6],"Coeur D'Alene, Idaho",6,https://www.npr.org/2024/03/26/1240984043/police-investigating-racial-harassment-of-ncaa-womens-basketball-team-in-idaho,1
94,http://dbpedia.org/resource/Colorado,28,[5],Colorado,5,https://www.breitbart.com/crime/2024/03/17/colorado-may-become-first-in-nation-to-build-segregated-prison-cells-for-transgender-inmates/,1
95,http://dbpedia.org/resource/Comics,191,[3],Comics,3,https://www.dw.com/en/graphic-novel-tells-the-stories-of-lgtbq-people-over-50/a-68682077,1
96,http://dbpedia.org/resource/Coming_of_age,112,[3],Coming Of Age,3,https://www.cbc.ca/radio/day6/the-queen-of-my-dreams-1.7152878,1
97,http://dbpedia.org/resource/Concurrency_(road),246,[9],Overlap,9,https://www.breitbart.com/clips/2024/04/02/carville-biden-didnt-know-easter-was-trans-visibility-day-no-one-in-the-white-house-knew-there-was-easter-overlap/,1
98,http://dbpedia.org/resource/Conflagration,301,[0],Conflagration,0,https://www.forbes.com/sites/susanharmeling/2024/04/07/the-quiet-bomb-how-dei-went-from-aspiration-to-conflagrationand-how-to-put-out-the-fire/,1
99,http://dbpedia.org/resource/Constitution_of_India,323,[8],Of India,8,https://www.nbcnews.com/news/asian-america/dev-patel-monkey-man-trans-hijra-rcna147253,1
100,http://dbpedia.org/resource/Contempt_of_Congress,101,[8],Disrupts,8,https://uk.news.yahoo.com/russia-adds-lgbt-movement-list-121939667.html,1
101,http://dbpedia.org/resource/Conversion_therapy,98,[2],Gay Conversion Therapy,2,https://www.abc.net.au/news/2024-03-22/nsw-laws-banning-gay-conversion-therapy-pass-parliament/103618786,1
102,http://dbpedia.org/resource/Cousin_marriage,339,[2],Marriage Between First Cousins,2,https://www.nbcnews.com/news/us-news/tennessee-lawmakers-send-bill-ban-first-cousin-marriages-governor-rcna147524,1
103,http://dbpedia.org/resource/Criticism_of_the_Israeli_government,368,[4],Anti-Israel,4,https://www.breitbart.com/politics/2024/04/14/far-left-activists-chicago-filmed-cheering-irans-major-attack-israel-radical-left-sick/,1
104,http://dbpedia.org/resource/Cult_following,89,[3],Cult Hit,3,https://www.advocate.com/girls5eva-s-paula-pell-on-season-3-s-lesbian-trampage-and-finding-her-people,1
105,http://dbpedia.org/resource/Culture_of_Tonga,356,[3],Culture Of,3,https://www.forbes.com/sites/lindseyedarvin/2024/04/12/women-athletes-are-changing-the-culture-of-fan-engagement/,1
106,http://dbpedia.org/resource/Curtis_Granderson,144,[2],Granderson,2,https://www.yahoo.com/news/granderson-ban-pride-flags-u-100022740.html,1
107,http://dbpedia.org/resource/Dance_Moms,344,[3],Dance Moms,3,https://www.abc.net.au/news/2024-04-12/jojo-siwa-admits-she-didnt-invent-gay-pop/103700632,1
108,http://dbpedia.org/resource/Daniel_Radcliffe,343,[3],Daniel Radcliffe,3,https://www.breitbart.com/entertainment/2024/04/12/j-k-rowling-suggests-no-forgiveness-for-daniel-radcliffe-emma-watson-for-abandoning-her/,1
109,http://dbpedia.org/resource/Dardenne_brothers,244,[9],Jean-Pierre,9,https://www.advocate.com/politics/jean-pierre-responds-tdov-misinformation,1
110,http://dbpedia.org/resource/Dave_Chappelle,298,[4],Dave Chappelle,4,https://www.breitbart.com/entertainment/2024/04/07/golden-globes-host-jerrod-carmichael-calls-dave-chappelle-an-egomaniac-says-gay-jokes-still-scary-for-me/,1
111,http://dbpedia.org/resource/Dawn_Staley,"300,307","[6, 6]",Dawn Staley,6,"https://www.nbcnews.com/news/sports/dawn-staley-trans-athletes-allowed-play-womens-sports-rcna146745, https://www.advocate.com/politics/nancy-mace-dawn-staley",2
112,http://dbpedia.org/resource/Death_row,195,[4],Death Row,4,https://www.npr.org/2024/03/29/1241576496/ministering-to-death-row-an-unlikely-friendship-based-on-a-shared-calling,1
113,http://dbpedia.org/resource/Democratic_Party_(United_States),"59,68,31,337,147,234","[4, 4, 4, 2, 9, 6]",Democrat,4,"https://www.advocate.com/politics/bernie-moreno-ohio-republican-primary, https://www.forbes.com/sites/saradorn/2024/03/19/trumps-ohio-senate-pick-bernie-moreno-faces-establishment-challenge-in-tonights-primary/, https://www.cbsnews.com/news/raja-krishnamoorthi-mike-gallagher-face-the-nation-transcript-03-17-2024/, https://www.advocate.com/politics/resolution-support-lgbtq-youth, https://www.breitbart.com/education/2024/03/26/fairfax-democrats-choose-easter-sunday-as-transgender-visibility-day/, https://www.advocate.com/politics/wisconsin-trans-sports-ban-veto",6
114,http://dbpedia.org/resource/Denver,326,[8],Denver,8,https://www.naturalnews.com/2024-04-11-north-face-major-sponsor-lgbt-youth-camp.html,1
115,http://dbpedia.org/resource/Departments_of_France,219,[8],Department,8,https://www.forbes.com/sites/ashleemariepreston/2024/04/01/meet-the-team-behind-glaads-black-lgbtq-media-advocacy/,1
116,http://dbpedia.org/resource/Dev_Patel,323,[8],Dev Patel,8,https://www.nbcnews.com/news/asian-america/dev-patel-monkey-man-trans-hijra-rcna147253,1
117,http://dbpedia.org/resource/Diplomatic_mission,105,[2],Embassies,2,https://www.forbes.com/sites/antoniopequenoiv/2024/03/21/white-house-agrees-to-ban-pride-flags-at-us-embassies-in-spending-bill-deal/,1
118,http://dbpedia.org/resource/District_attorney,"102,100,177","[0, 0, 4]",Deputy District Attorney,0,"https://abcnews.go.com/US/nex-benedict-fight-no-charges/story?id=108368542, https://www.npr.org/2024/03/21/1240079971/nex-benedict-case-tulsa-da, https://www.advocate.com/news/will-wooten-donald-trump-trial",3
119,http://dbpedia.org/resource/District_of_Maine,77,[6],Maine District,6,https://www.advocate.com/news/lesbian-teacher-settles-discrimination-suit,1
120,http://dbpedia.org/resource/Dog_on_a_Leash,127,[4],Dog On A Leash,4,https://www.cbsnews.com/video/christian-cooper-the-extraordinary-birder/,1
121,http://dbpedia.org/resource/Donald_Trump,"59,277,177,341,262,259","[4, 7, 4, 4, 9, 4]",Donald Trump,4,"https://www.advocate.com/politics/bernie-moreno-ohio-republican-primary, https://www.advocate.com/history/king-james-bible-queer, https://www.advocate.com/news/will-wooten-donald-trump-trial, https://abcnews.go.com/Politics/wireStory/jill-biden-calls-trump-bully-dangerous-lgbtq-people-109177394, https://www.advocate.com/politics/lara-trump-biden-transgender-events, https://www.advocate.com/politics/trump-mark-burns-lgbtq-executions",6
122,http://dbpedia.org/resource/DoubleTree,252,[8],Doubletree By Hilton,8,https://www.advocate.com/news/chaya-raichik-doubletree-california,1
123,http://dbpedia.org/resource/Double_Whammy_(film),135,[5],Double Whammy,5,https://www.abc.net.au/news/2024-03-25/inaccessibility-disabled-queer-australia-perspectives/103052852,1
124,http://dbpedia.org/resource/Drag_queen,"289,24,1,26,185,111,326,330","[8, 3, 6, 8, 4, 4, 8, 4]",Drag Queen,8,"https://www.naturalnews.com/2024-04-08-north-face-target-lgbt-youth-camp-genderless.html, https://www.breitbart.com/politics/2024/03/17/arizona-bookstore-nixes-drag-show-palestine-event-after-backlash-they-should-this-palestine/, https://www.npr.org/2024/03/15/1238906976/supreme-court-drag-shows, https://www.bbc.co.uk/news/uk-northern-ireland-68555287, https://www.naturalnews.com/2024-03-28-drag-queen-feted-by-kamala-accused-assaults.html, https://www.forbes.com/sites/tylerroush/2024/03/23/evacuation-orders-lifted-after-series-of-bomb-threats-target-lancaster-pennsylvania/, https://www.naturalnews.com/2024-04-11-north-face-major-sponsor-lgbt-youth-camp.html, https://www.advocate.com/news/tara-hoot-bomb-threats",8
125,http://dbpedia.org/resource/Duolingo,316,[8],Duolingo,8,https://www.rt.com/russia/595716-duolingo-warn-gay-propaganda-russia/,1
126,http://dbpedia.org/resource/Duval_County_Public_Schools,63,[4],Duval County Public Schools,4,https://www.advocate.com/education/travis-akers-duval-school-board,1
127,http://dbpedia.org/resource/Egomania,298,[4],Egomaniac,4,https://www.breitbart.com/entertainment/2024/04/07/golden-globes-host-jerrod-carmichael-calls-dave-chappelle-an-egomaniac-says-gay-jokes-still-scary-for-me/,1
